INSERT INTO Registro_gimnasio VALUES('2023-05-15', 'A0200414'),
('2023-05-15', 'A0585548'),
('2023-05-15', 'A0684493'),
('2023-05-15', 'A0847274'),
('2023-05-15', 'A0234586'),
('2023-05-15', 'A0938097'),
('2023-05-15', 'A0967511'),
('2023-05-15', 'A0866952'),
('2023-05-15', 'A062890'),
('2023-05-15', 'A0659665'),
('2023-05-15', 'A0484072'),
('2023-05-15', 'A0385063'),
('2023-05-15', 'A0151330'),
('2023-05-15', 'A0898331'),
('2023-05-15', 'A0230235'),
('2023-05-15', 'A0435078'),
('2023-05-15', 'A0252373'),
('2023-05-15', 'A0768223'),
('2023-05-15', 'A0889480'),
('2023-05-15', 'A0269325'),
('2023-05-15', 'A0663729'),
('2023-05-15', 'A0912769'),
('2023-05-15', 'A0813856'),
('2023-05-15', 'A0298884'),
('2023-05-15', 'A0195953'),
('2023-05-15', 'A0373352'),
('2023-05-15', 'A0580496'),
('2023-05-15', 'A0481160'),
('2023-05-15', 'A0108968'),
('2023-05-15', 'A0595749'),
('2023-05-15', 'A0257135'),
('2023-05-15', 'A0818929'),
('2023-05-15', 'A0254738'),
('2023-05-15', 'A0904353'),
('2023-05-15', 'A0939490'),
('2023-05-15', 'A0806496'),
('2023-05-15', 'A0364035'),
('2023-05-15', 'A0880516'),
('2023-05-15', 'A0720355'),
('2023-05-15', 'A0866146'),
('2023-05-15', 'A0356747'),
('2023-05-15', 'A0655500'),
('2023-05-15', 'A0624568'),
('2023-05-15', 'A0934724'),
('2023-05-15', 'A0216341'),
('2023-05-15', 'A0832011'),
('2023-05-15', 'A0763024'),
('2023-05-15', 'A019890'),
('2023-05-15', 'A0322556'),
('2023-05-15', 'A0797518'),
('2023-05-15', 'A0492307'),
('2023-05-15', 'A0519957'),
('2023-05-15', 'A0679445'),
('2023-05-15', 'A0345399'),
('2023-05-15', 'A0724827'),
('2023-05-15', 'A0145708'),
('2023-05-15', 'A0920356'),
('2023-05-15', 'A0761693'),
('2023-05-15', 'A0902910'),
('2023-05-15', 'A0154057'),
('2023-05-15', 'A0267859'),
('2023-05-15', 'A0546957'),
('2023-05-15', 'A0126285'),
('2023-05-15', 'A0794860'),
('2023-05-15', 'A0684027'),
('2023-05-15', 'A0110793'),
('2023-05-15', 'A0126083'),
('2023-05-15', 'A0296116'),
('2023-05-15', 'A0852454'),
('2023-05-15', 'A0575433'),
('2023-05-15', 'A0374270'),
('2023-05-15', 'A05927'),
('2023-05-15', 'A0888455'),
('2023-05-15', 'A0898525'),
('2023-05-15', 'A0230474'),
('2023-05-15', 'A050319'),
('2023-05-15', 'A0345394'),
('2023-05-15', 'A0607739'),
('2023-05-15', 'A0115348'),
('2023-05-15', 'A0660693'),
('2023-05-15', 'A0366944'),
('2023-05-15', 'A0547332'),
('2023-05-15', 'A0111082'),
('2023-05-15', 'A0236883'),
('2023-05-15', 'A0310419'),
('2023-05-15', 'A0134208'),
('2023-05-15', 'A0477161'),
('2023-05-15', 'A0107356'),
('2023-05-15', 'A0131386'),
('2023-05-15', 'A0117764'),
('2023-05-15', 'A0578284'),
('2023-05-15', 'A0829344'),
('2023-05-15', 'A0703180'),
('2023-05-15', 'A0591662'),
('2023-05-15', 'A04334'),
('2023-05-15', 'A036397'),
('2023-05-15', 'A062101'),
('2023-05-15', 'A0173391'),
('2023-05-15', 'A0645527'),
('2023-05-15', 'A0504931'),
('2023-05-15', 'A017776'),
('2023-05-15', 'A0259029'),
('2023-05-15', 'A0909854'),
('2023-05-15', 'A0218708'),
('2023-05-15', 'A061343'),
('2023-05-15', 'A0495975'),
('2023-05-15', 'A0704082'),
('2023-05-15', 'A039671'),
('2023-05-15', 'A0199217'),
('2023-05-15', 'A0865585'),
('2023-05-15', 'A0691787'),
('2023-05-15', 'A0757329'),
('2023-05-15', 'A032663'),
('2023-05-15', 'A0725503'),
('2023-05-15', 'A0520563'),
('2023-05-15', 'A0653671'),
('2023-05-15', 'A0839943'),
('2023-05-15', 'A0467282'),
('2023-05-15', 'A0631155'),
('2023-05-15', 'A0874317'),
('2023-05-15', 'A0858105'),
('2023-05-15', 'A0819296'),
('2023-05-15', 'A0390222'),
('2023-05-15', 'A0562509'),
('2023-05-15', 'A0607895'),
('2023-05-15', 'A0397075'),
('2023-05-15', 'A0173248'),
('2023-05-15', 'A0914338'),
('2023-05-15', 'A0824554'),
('2023-05-15', 'A0349179'),
('2023-05-15', 'A0253167'),
('2023-05-15', 'A0958082'),
('2023-05-15', 'A0222884'),
('2023-05-15', 'A0851540'),
('2023-05-15', 'A0852569'),
('2023-05-15', 'A0398814'),
('2023-05-15', 'A0789172'),
('2023-05-15', 'A0550900'),
('2023-05-15', 'A0415896'),
('2023-05-15', 'A0174411'),
('2023-05-15', 'A0518405'),
('2023-05-15', 'A0256377'),
('2023-05-15', 'A0237659'),
('2023-05-15', 'A0951855'),
('2023-05-15', 'A0761505'),
('2023-05-15', 'A0157776'),
('2023-05-15', 'A0947527'),
('2023-05-15', 'A0823452'),
('2023-05-15', 'A0576476'),
('2023-05-15', 'A0366674'),
('2023-05-15', 'A0288327'),
('2023-05-15', 'A0786362'),
('2023-05-15', 'A0396083'),
('2023-05-15', 'A0119408'),
('2023-05-15', 'A0869091'),
('2023-05-15', 'A0591129'),
('2023-05-15', 'A035477'),
('2023-05-15', 'A0735678'),
('2023-05-15', 'A0129279'),
('2023-05-15', 'A0629497'),
('2023-05-15', 'A0696877'),
('2023-05-15', 'A0402637'),
('2023-05-15', 'A0250047'),
('2023-05-15', 'A0543817'),
('2023-05-15', 'A0312658'),
('2023-05-15', 'A0915222'),
('2023-05-15', 'A0438798'),
('2023-05-15', 'A0883534'),
('2023-05-15', 'A0197516'),
('2023-05-15', 'A0246623'),
('2023-05-15', 'A0917327'),
('2023-05-15', 'A0658631'),
('2023-05-15', 'A0651143'),
('2023-05-15', 'A0644684'),
('2023-05-15', 'A0388228'),
('2023-05-15', 'A0629955'),
('2023-05-15', 'A0166334'),
('2023-05-15', 'A0339017'),
('2023-05-15', 'A0255209'),
('2023-05-15', 'A0925397'),
('2023-05-15', 'A0989794'),
('2023-05-15', 'A0584773'),
('2023-05-15', 'A0915891'),
('2023-05-15', 'A0696833'),
('2023-05-15', 'A0839034'),
('2023-05-15', 'A0427878'),
('2023-05-15', 'A0176047'),
('2023-05-15', 'A0849235'),
('2023-05-15', 'A0434538'),
('2023-05-15', 'A0388819'),
('2023-05-15', 'A0498097'),
('2023-05-15', 'A0843830'),
('2023-05-15', 'A0265938'),
('2023-05-15', 'A0923246'),
('2023-05-15', 'A0917185'),
('2023-05-15', 'A0998249'),
('2023-05-15', 'A0661380'),
('2023-05-15', 'A0875597'),
('2023-05-15', 'A0843160'),
('2023-05-15', 'A0648234'),
('2023-05-15', 'A0751212'),
('2023-05-15', 'A0493044'),
('2023-05-15', 'A0218258'),
('2023-05-15', 'A0709531'),
('2023-05-15', 'A0124955'),
('2023-05-15', 'A043674'),
('2023-05-15', 'A0529993'),
('2023-05-15', 'A0789664'),
('2023-05-15', 'A0242412'),
('2023-05-15', 'A0341434'),
('2023-05-15', 'A0131230'),
('2023-05-15', 'A096592'),
('2023-05-15', 'A0438506'),
('2023-05-15', 'A0191440'),
('2023-05-15', 'A0107637'),
('2023-05-15', 'A0691775'),
('2023-05-15', 'A0884405'),
('2023-05-15', 'A0108106'),
('2023-05-15', 'A0512143'),
('2023-05-15', 'A0918853'),
('2023-05-15', 'A0461777'),
('2023-05-15', 'A0566215'),
('2023-05-15', 'A0200869'),
('2023-05-15', 'A0828344'),
('2023-05-15', 'A021948'),
('2023-05-15', 'A0602980'),
('2023-05-15', 'A0389582'),
('2023-05-15', 'A0969040'),
('2023-05-15', 'A075536'),
('2023-05-15', 'A0528604'),
('2023-05-15', 'A0917766'),
('2023-05-15', 'A0968142'),
('2023-05-15', 'A0939432'),
('2023-05-15', 'A0794580'),
('2023-05-15', 'A0690686'),
('2023-05-15', 'A0663685'),
('2023-05-15', 'A0117950'),
('2023-05-15', 'A0865180'),
('2023-05-15', 'A0898862'),
('2023-05-15', 'A0888122'),
('2023-05-15', 'A0976076'),
('2023-05-15', 'A0299413'),
('2023-05-15', 'A0287226'),
('2023-05-15', 'A0165912'),
('2023-05-15', 'A0904392'),
('2023-05-15', 'A0319106'),
('2023-05-15', 'A0590617'),
('2023-05-15', 'A075677'),
('2023-05-15', 'A087288'),
('2023-05-15', 'A0880932'),
('2023-05-15', 'A0161057'),
('2023-05-15', 'A0673592'),
('2023-05-15', 'A0359355'),
('2023-05-15', 'A0578645'),
('2023-05-15', 'A0605885'),
('2023-05-15', 'A051139'),
('2023-05-15', 'A043898'),
('2023-05-15', 'A054467'),
('2023-05-15', 'A0574320'),
('2023-05-15', 'A0430712'),
('2023-05-15', 'A0612416'),
('2023-05-15', 'A0455308'),
('2023-05-15', 'A097238'),
('2023-05-15', 'A063015'),
('2023-05-15', 'A0361982'),
('2023-05-15', 'A0252566'),
('2023-05-15', 'A016851'),
('2023-05-15', 'A0898396'),
('2023-05-15', 'A0143849'),
('2023-05-15', 'A0266575'),
('2023-05-15', 'A0169688'),
('2023-05-15', 'A0317119'),
('2023-05-15', 'A011635'),
('2023-05-15', 'A075924'),
('2023-05-15', 'A077105'),
('2023-05-15', 'A0657282'),
('2023-05-15', 'A0325962'),
('2023-05-15', 'A0911970'),
('2023-05-15', 'A0504357'),
('2023-05-15', 'A0265613'),
('2023-05-15', 'A0425879'),
('2023-05-15', 'A0151959'),
('2023-05-15', 'A0406320'),
('2023-05-15', 'A0438894'),
('2023-05-15', 'A0814994'),
('2023-05-15', 'A0581921'),
('2023-05-15', 'A0915165'),
('2023-05-15', 'A0152062'),
('2023-05-15', 'A0601271'),
('2023-05-15', 'A0601500'),
('2023-05-15', 'A030170'),
('2023-05-15', 'A0595446'),
('2023-05-15', 'A0390171'),
('2023-05-15', 'A078963'),
('2023-05-15', 'A0479575'),
('2023-05-15', 'A0996402'),
('2023-05-15', 'A0691220'),
('2023-05-15', 'A0208803'),
('2023-05-15', 'A0854145'),
('2023-05-15', 'A0725633'),
('2023-05-15', 'A032666'),
('2023-05-15', 'A0815157'),
('2023-05-15', 'A0198473'),
('2023-05-15', 'A0691783'),
('2023-05-15', 'A0700092'),
('2023-05-15', 'A0882628'),
('2023-05-15', 'A0295676'),
('2023-05-15', 'A038027'),
('2023-05-15', 'A0725184'),
('2023-05-15', 'A0802810'),
('2023-05-15', 'A0109056'),
('2023-05-15', 'A0484783'),
('2023-05-15', 'A0845987'),
('2023-05-15', 'A0437824'),
('2023-05-15', 'A0319724'),
('2023-05-15', 'A0873654'),
('2023-05-15', 'A0679013'),
('2023-05-15', 'A0236028'),
('2023-05-15', 'A0318646'),
('2023-05-15', 'A0666269'),
('2023-05-15', 'A0134310'),
('2023-05-15', 'A0366329'),
('2023-05-15', 'A0623302'),
('2023-05-15', 'A0522117'),
('2023-05-15', 'A0684019'),
('2023-05-15', 'A0174306'),
('2023-05-15', 'A0393589'),
('2023-05-15', 'A0157272'),
('2023-05-15', 'A0258834'),
('2023-05-15', 'A066039'),
('2023-05-15', 'A0568275'),
('2023-05-15', 'A0525213'),
('2023-05-15', 'A0323103'),
('2023-05-15', 'A0689210'),
('2023-05-15', 'A0947840'),
('2023-05-15', 'A0467491'),
('2023-05-15', 'A0468382'),
('2023-05-15', 'A0171417'),
('2023-05-15', 'A0661005'),
('2023-05-15', 'A0320126'),
('2023-05-15', 'A0641517'),
('2023-05-15', 'A0895760'),
('2023-05-15', 'A0584502'),
('2023-05-15', 'A0618018'),
('2023-05-15', 'A0712104'),
('2023-05-15', 'A077496'),
('2023-05-15', 'A064434'),
('2023-05-15', 'A0258502'),
('2023-05-15', 'A0317100'),
('2023-05-15', 'A0231543'),
('2023-05-15', 'A0246339'),
('2023-05-15', 'A0241370'),
('2023-05-15', 'A0902742'),
('2023-05-15', 'A0908935'),
('2023-05-15', 'A0432375'),
('2023-05-15', 'A0694985'),
('2023-05-15', 'A0743210'),
('2023-05-15', 'A066409'),
('2023-05-15', 'A0450477'),
('2023-05-15', 'A0426738'),
('2023-05-15', 'A0539079'),
('2023-05-15', 'A0269434'),
('2023-05-15', 'A0841250'),
('2023-05-15', 'A0917987'),
('2023-05-15', 'A0140338'),
('2023-05-15', 'A0817186'),
('2023-05-15', 'A0676272'),
('2023-05-15', 'A0448149'),
('2023-05-15', 'A0983489'),
('2023-05-15', 'A0477404'),
('2023-05-15', 'A0841136'),
('2023-05-15', 'A0201411'),
('2023-05-15', 'A0454098'),
('2023-05-15', 'A0370980'),
('2023-05-15', 'A09508'),
('2023-05-15', 'A0531676'),
('2023-05-15', 'A0781519'),
('2023-05-15', 'A0475752'),
('2023-05-15', 'A0538778'),
('2023-05-15', 'A043787'),
('2023-05-15', 'A0513165'),
('2023-05-15', 'A08108'),
('2023-05-15', 'A091948'),
('2023-05-15', 'A0949947'),
('2023-05-15', 'A098562'),
('2023-05-15', 'A0670126'),
('2023-05-15', 'A0192227'),
('2023-05-15', 'A0343150'),
('2023-05-15', 'A0906948'),
('2023-05-15', 'A0738433'),
('2023-05-15', 'A0515704'),
('2023-05-15', 'A0798058'),
('2023-05-15', 'A0129257'),
('2023-05-15', 'A065833'),
('2023-05-15', 'A0242813'),
('2023-05-15', 'A0403624'),
('2023-05-15', 'A0127437'),
('2023-05-15', 'A0512462'),
('2023-05-15', 'A0612256'),
('2023-05-15', 'A0917376'),
('2023-05-15', 'A0965984'),
('2023-05-15', 'A0594523'),
('2023-05-15', 'A0957213'),
('2023-05-15', 'A0279629'),
('2023-05-15', 'A0192666'),
('2023-05-15', 'A0439091'),
('2023-05-15', 'A0706421'),
('2023-05-15', 'A0151712'),
('2023-05-15', 'A0620283'),
('2023-05-15', 'A0539630'),
('2023-05-15', 'A0607959'),
('2023-05-15', 'A0619612'),
('2023-05-15', 'A041148'),
('2023-05-15', 'A0414088'),
('2023-05-15', 'A0898587'),
('2023-05-15', 'A0374388'),
('2023-05-15', 'A0751403'),
('2023-05-15', 'A087866'),
('2023-05-15', 'A0876379'),
('2023-05-15', 'A0221896'),
('2023-05-15', 'A0497289'),
('2023-05-15', 'A0863721'),
('2023-05-15', 'A0177216'),
('2023-05-15', 'A069782'),
('2023-05-15', 'A0351933'),
('2023-05-15', 'A0486721'),
('2023-05-15', 'A0292416'),
('2023-05-15', 'A079939'),
('2023-05-15', 'A0457997'),
('2023-05-15', 'A0686959'),
('2023-05-15', 'A0605580'),
('2023-05-15', 'A0405521'),
('2023-05-15', 'A0196883'),
('2023-05-15', 'A0380067'),
('2023-05-15', 'A0792790'),
('2023-05-15', 'A0668634'),
('2023-05-15', 'A0605434'),
('2023-05-15', 'A0148842'),
('2023-05-15', 'A0732166'),
('2023-05-15', 'A038917'),
('2023-05-15', 'A0206666'),
('2023-05-15', 'A0443866'),
('2023-05-15', 'A0687357'),
('2023-05-15', 'A0392747'),
('2023-05-15', 'A0844500'),
('2023-05-15', 'A0901486'),
('2023-05-15', 'A0976339'),
('2023-05-15', 'A0129848'),
('2023-05-15', 'A0533284'),
('2023-05-15', 'A0399059'),
('2023-05-15', 'A0147126'),
('2023-05-15', 'A0212281'),
('2023-05-15', 'A0671391'),
('2023-05-15', 'A0657657'),
('2023-05-15', 'A0632332'),
('2023-05-15', 'A0768999'),
('2023-05-15', 'A089335'),
('2023-05-15', 'A0827451'),
('2023-05-15', 'A0112571'),
('2023-05-15', 'A0802613'),
('2023-05-15', 'A0945312'),
('2023-05-15', 'A060936'),
('2023-05-15', 'A0145838'),
('2023-05-15', 'A0383987'),
('2023-05-15', 'A0450367'),
('2023-05-15', 'A0832347'),
('2023-05-15', 'A0321975'),
('2023-05-15', 'A0443806'),
('2023-05-15', 'A0114607'),
('2023-05-15', 'A0627751'),
('2023-05-15', 'A0856634'),
('2023-05-15', 'A0235081'),
('2023-05-15', 'A0602571'),
('2023-05-15', 'A0761041'),
('2023-05-15', 'A0271054'),
('2023-05-15', 'A049396'),
('2023-05-15', 'A0345569'),
('2023-05-15', 'A0645615'),
('2023-05-15', 'A09429'),
('2023-05-15', 'A0226270'),
('2023-05-15', 'A0596370'),
('2023-05-15', 'A0488063'),
('2023-05-15', 'A0829074'),
('2023-05-15', 'A0934293'),
('2023-05-15', 'A0362020'),
('2023-05-15', 'A0697870'),
('2023-05-15', 'A058697'),
('2023-05-15', 'A0770245'),
('2023-05-15', 'A0152032'),
('2023-05-15', 'A0846417'),
('2023-05-15', 'A0114747'),
('2023-05-15', 'A0944825'),
('2023-05-15', 'A0787395'),
('2023-05-15', 'A0788683'),
('2023-05-15', 'A0458835'),
('2023-05-15', 'A0731484'),
('2023-05-15', 'A0487492'),
('2023-05-15', 'A0447573'),
('2023-05-15', 'A0893828'),
('2023-05-15', 'A0566732'),
('2023-05-15', 'A0457169'),
('2023-05-15', 'A0525423'),
('2023-05-15', 'A0832321'),
('2023-05-15', 'A0367642'),
('2023-05-15', 'A0903291'),
('2023-05-15', 'A0473048'),
('2023-05-15', 'A0446395'),
('2023-05-15', 'A0351415'),
('2023-05-15', 'A0504637'),
('2023-05-15', 'A0870256'),
('2023-05-15', 'A0438302'),
('2023-05-15', 'A0160602'),
('2023-05-15', 'A0962737'),
('2023-05-15', 'A0681789'),
('2023-05-15', 'A0683219'),
('2023-05-15', 'A0200432'),
('2023-05-15', 'A0997628'),
('2023-05-15', 'A0685727'),
('2023-05-15', 'A0903551'),
('2023-05-15', 'A0981096'),
('2023-05-15', 'A079756'),
('2023-05-15', 'A0203974'),
('2023-05-15', 'A0595111'),
('2023-05-15', 'A0827881'),
('2023-05-15', 'A0322497'),
('2023-05-15', 'A0569799'),
('2023-05-15', 'A0562890'),
('2023-05-15', 'A0820441'),
('2023-05-15', 'A0883070'),
('2023-05-15', 'A0858666'),
('2023-05-15', 'A0540298'),
('2023-05-15', 'A0726010'),
('2023-05-15', 'A0850500'),
('2023-05-15', 'A0986341'),
('2023-05-15', 'A0227526'),
('2023-05-15', 'A0717394'),
('2023-05-15', 'A0941379'),
('2023-05-15', 'A0648143'),
('2023-05-15', 'A0454174'),
('2023-05-15', 'A0295566'),
('2023-05-15', 'A0195652'),
('2023-05-15', 'A0559556'),
('2023-05-15', 'A0700584'),
('2023-05-15', 'A0913157'),
('2023-05-15', 'A0952743'),
('2023-05-15', 'A0475266'),
('2023-05-15', 'A0430161'),
('2023-05-15', 'A0612178'),
('2023-05-15', 'A0630614'),
('2023-05-15', 'A0846823'),
('2023-05-15', 'A0214619'),
('2023-05-15', 'A0445022'),
('2023-05-15', 'A0616335'),
('2023-05-15', 'A0176240'),
('2023-05-15', 'A0747358'),
('2023-05-15', 'A0425571'),
('2023-05-15', 'A06032'),
('2023-05-15', 'A0176104'),
('2023-05-15', 'A0583767'),
('2023-05-15', 'A092780'),
('2023-05-15', 'A0981190'),
('2023-05-15', 'A0959591'),
('2023-05-15', 'A0480526'),
('2023-05-15', 'A0847558'),
('2023-05-15', 'A0446185'),
('2023-05-15', 'A0619579'),
('2023-05-15', 'A0847754'),
('2023-05-15', 'A0256255'),
('2023-05-15', 'A0561643'),
('2023-05-15', 'A0351137'),
('2023-05-15', 'A0168867'),
('2023-05-15', 'A028869'),
('2023-05-15', 'A0170253'),
('2023-05-15', 'A0314490'),
('2023-05-15', 'A0734706'),
('2023-05-15', 'A0950167'),
('2023-05-15', 'A0895226'),
('2023-05-15', 'A0156126'),
('2023-05-15', 'A0111216'),
('2023-05-15', 'A0469792'),
('2023-05-15', 'A010932'),
('2023-05-15', 'A0228871'),
('2023-05-15', 'A0825310'),
('2023-05-15', 'A0100567'),
('2023-05-15', 'A0944942'),
('2023-05-15', 'A0426035'),
('2023-05-15', 'A0284411'),
('2023-05-15', 'A0427190'),
('2023-05-15', 'A0457756'),
('2023-05-15', 'A0351752'),
('2023-05-15', 'A078935'),
('2023-05-15', 'A0222298'),
('2023-05-15', 'A0937823'),
('2023-05-15', 'A0534250'),
('2023-05-15', 'A0878166'),
('2023-05-15', 'A0919185'),
('2023-05-15', 'A0191901'),
('2023-05-15', 'A0201071'),
('2023-05-15', 'A0957142'),
('2023-05-15', 'A0288733'),
('2023-05-15', 'A0274417'),
('2023-05-15', 'A0843171'),
('2023-05-15', 'A0419300'),
('2023-05-15', 'A0887660'),
('2023-05-15', 'A0235588'),
('2023-05-15', 'A0359578'),
('2023-05-15', 'A0642739'),
('2023-05-15', 'A0273399'),
('2023-05-15', 'A0187956'),
('2023-05-15', 'A0701030'),
('2023-05-15', 'A0259358'),
('2023-05-15', 'A0917168'),
('2023-05-15', 'A0909548'),
('2023-05-15', 'A0954527'),
('2023-05-15', 'A0848091'),
('2023-05-15', 'A0152447'),
('2023-05-15', 'A0570617'),
('2023-05-15', 'A066393'),
('2023-05-15', 'A0402547'),
('2023-05-15', 'A0852791'),
('2023-05-15', 'A0168160'),
('2023-05-15', 'A0413236'),
('2023-05-15', 'A0497395'),
('2023-05-15', 'A0618662'),
('2023-05-15', 'A0423082'),
('2023-05-15', 'A0360632'),
('2023-05-15', 'A0515979'),
('2023-05-15', 'A0553031'),
('2023-05-15', 'A0723846'),
('2023-05-15', 'A0265615'),
('2023-05-15', 'A0679068'),
('2023-05-15', 'A0805776'),
('2023-05-15', 'A0714218'),
('2023-05-15', 'A0246788'),
('2023-05-15', 'A0666974'),
('2023-05-15', 'A0264913'),
('2023-05-15', 'A0852977'),
('2023-05-15', 'A0335336'),
('2023-05-15', 'A0767109'),
('2023-05-15', 'A0797640'),
('2023-05-15', 'A0476782'),
('2023-05-15', 'A0625865'),
('2023-05-15', 'A0432517'),
('2023-05-15', 'A0110095'),
('2023-05-15', 'A011386'),
('2023-05-15', 'A0934067'),
('2023-05-15', 'A0373109'),
('2023-05-15', 'A0445820'),
('2023-05-15', 'A0163104'),
('2023-05-15', 'A0413665'),
('2023-05-15', 'A0450137'),
('2023-05-15', 'A0345634'),
('2023-05-15', 'A0337991'),
('2023-05-15', 'A084570'),
('2023-05-15', 'A0981893'),
('2023-05-15', 'A0651342'),
('2023-05-15', 'A02725'),
('2023-05-15', 'A0533575'),
('2023-05-15', 'A043847'),
('2023-05-15', 'A0842897'),
('2023-05-15', 'A0777572'),
('2023-05-15', 'A0344700'),
('2023-05-15', 'A0871030'),
('2023-05-15', 'A037544'),
('2023-05-15', 'A0544024'),
('2023-05-15', 'A0565563'),
('2023-05-15', 'A0552415'),
('2023-05-15', 'A0977938'),
('2023-05-15', 'A0399672'),
('2023-05-15', 'A0521001'),
('2023-05-15', 'A0665098'),
('2023-05-15', 'A0280015'),
('2023-05-15', 'A0255715'),
('2023-05-15', 'A0183394'),
('2023-05-15', 'A0711334'),
('2023-05-15', 'A0899844'),
('2023-05-15', 'A0173850'),
('2023-05-15', 'A0101610'),
('2023-05-15', 'A0765389'),
('2023-05-15', 'A0717728'),
('2023-05-15', 'A0129253'),
('2023-05-15', 'A0359253'),
('2023-05-15', 'A0415939'),
('2023-05-15', 'A0662880'),
('2023-05-15', 'A0596117'),
('2023-05-15', 'A0507404'),
('2023-05-15', 'A0782381'),
('2023-05-15', 'A0190935'),
('2023-05-15', 'A0352729'),
('2023-05-15', 'A0281968'),
('2023-05-15', 'A0398122'),
('2023-05-15', 'A0625704'),
('2023-05-15', 'A0975238'),
('2023-05-15', 'A0150933'),
('2023-05-15', 'A0701469'),
('2023-05-15', 'A0725324'),
('2023-05-15', 'A0645540'),
('2023-05-15', 'A0687867'),
('2023-05-15', 'A0782035'),
('2023-05-15', 'A0985744'),
('2023-05-15', 'A0289963'),
('2023-05-15', 'A0271612'),
('2023-05-15', 'A0372312'),
('2023-05-15', 'A09487'),
('2023-05-15', 'A019139'),
('2023-05-15', 'A0239675'),
('2023-05-15', 'A0249490'),
('2023-05-15', 'A0846979'),
('2023-05-15', 'A0911859'),
('2023-05-15', 'A0606502'),
('2023-05-15', 'A0634018'),
('2023-05-15', 'A0469851'),
('2023-05-15', 'A0444045'),
('2023-05-15', 'A0418269'),
('2023-05-15', 'A0311826'),
('2023-05-15', 'A0423259'),
('2023-05-15', 'A026406'),
('2023-05-15', 'A0844272'),
('2023-05-15', 'A0898136'),
('2023-05-15', 'A0688269'),
('2023-05-15', 'A0643689'),
('2023-05-15', 'A0127001'),
('2023-05-15', 'A0951977'),
('2023-05-15', 'A0456868'),
('2023-05-15', 'A0149350'),
('2023-05-15', 'A0489292'),
('2023-05-15', 'A0259645'),
('2023-05-15', 'A057945'),
('2023-05-15', 'A0464498'),
('2023-05-15', 'A0313028'),
('2023-05-15', 'A09736'),
('2023-05-15', 'A0520898'),
('2023-05-15', 'A0478268'),
('2023-05-15', 'A0346092'),
('2023-05-15', 'A0197879'),
('2023-05-15', 'A0237627'),
('2023-05-15', 'A0978771'),
('2023-05-15', 'A0544103'),
('2023-05-15', 'A0836602'),
('2023-05-15', 'A0605467'),
('2023-05-15', 'A0469847'),
('2023-05-15', 'A0339655'),
('2023-05-15', 'A0314865'),
('2023-05-15', 'A0487242'),
('2023-05-15', 'A0416799'),
